time,frequency
0.0,0.0
0.005,0.0
0.01,0.0
0.015,0.0
0.02,0.0
0.025,0.0
0.03,0.0
0.035,0.0
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.105,0.0
0.11,0.0
0.115,0.0
0.12,0.0
0.125,0.0
0.13,0.0
0.135,0.0
0.14,0.0
0.145,0.0
0.15,0.0
0.155,0.0
0.16,0.0
0.165,0.0
0.17,0.0
0.175,0.0
0.18,0.0
0.185,0.0
0.19,0.0
0.195,0.0
0.2,0.0
0.205,0.0
0.21,0.0
0.215,0.0
0.22,0.0
0.225,0.0
0.23,0.0
0.235,0.0
0.24,0.0
0.245,0.0
0.25,0.0
0.255,0.0
0.26,0.0
0.265,0.0
0.27,0.0
0.275,0.0
0.28,0.0
0.285,0.0
0.29,0.0
0.295,0.0
0.3,0.0
0.305,0.0
0.31,0.0
0.315,0.0
0.32,0.0
0.325,0.0
0.33,0.0
0.335,0.0
0.34,0.0
0.345,0.0
0.35,0.0
0.355,0.0
0.36,0.0
0.365,0.0
0.37,0.0
0.375,0.0
0.38,0.0
0.385,0.0
0.39,0.0
0.395,0.0
0.4,0.0
0.405,0.0
0.41,0.0
0.415,0.0
0.42,0.0
0.425,0.0
0.43,0.0
0.435,0.0
0.44,0.0
0.445,0.0
0.45,0.0
0.455,0.0
0.46,0.0
0.465,0.0
0.47,0.0
0.475,0.0
0.48,0.0
0.485,0.0
0.49,0.0
0.495,0.0
0.5,0.0
0.505,0.0
0.51,0.0
0.515,0.0
0.52,0.0
0.525,0.0
0.53,0.0
0.535,0.0
0.54,0.0
0.545,0.0
0.55,0.0
0.555,0.0
0.56,0.0
0.565,0.0
0.57,0.0
0.575,0.0
0.58,0.0
0.585,0.0
0.59,0.0
0.595,0.0
0.6,0.0
0.605,0.0
0.61,0.0
0.615,0.0
0.62,0.0
0.625,0.0
0.63,0.0
0.635,0.0
0.64,0.0
0.645,0.0
0.65,0.0
0.655,0.0
0.66,0.0
0.665,0.0
0.67,0.0
0.675,0.0
0.68,0.0
0.685,0.0
0.69,0.0
0.695,0.0
0.7,0.0
0.705,0.0
0.71,0.0
0.715,0.0
0.72,0.0
0.725,0.0
0.73,0.0
0.735,0.0
0.74,0.0
0.745,0.0
0.75,0.0
0.755,0.0
0.76,0.0
0.765,0.0
0.77,0.0
0.775,0.0
0.78,0.0
0.785,0.0
0.79,0.0
0.795,0.0
0.8,0.0
0.805,0.0
0.81,0.0
0.815,0.0
0.82,0.0
0.825,0.0
0.83,0.0
0.835,0.0
0.84,0.0
0.845,0.0
0.85,0.0
0.855,0.0
0.86,0.0
0.865,0.0
0.87,245.33166177340502
0.875,252.8155436740048
0.88,246.7982711790034
0.885,238.90897192297976
0.89,239.09090215909583
0.895,237.8343346935476
0.9,239.05302125184062
0.905,237.2868824987346
0.91,238.2786360900086
0.915,238.12252998394223
0.92,238.98904903942184
0.925,238.9118793034384
0.93,240.0696479983854
0.935,240.55955808696157
0.94,240.47525009012026
0.945,237.97346836258293
0.95,234.82095923798494
0.955,236.8861457492215
0.96,236.6036016319771
0.965,235.72562268305987
0.97,236.8377742682818
0.975,235.364729968945
0.98,234.82904659780147
0.985,235.28259120128897
0.99,235.80268149147608
0.995,237.31259835295455
1.0,241.04996711986755
1.005,242.96538318936314
1.01,240.31250945153718
1.015,239.99193797270192
1.02,237.96624183513777
1.025,236.70360552146974
1.03,236.67350451050098
1.035,235.35170042507113
1.04,236.04710179592385
1.045,232.5034320955239
1.05,0.0
1.055,266.29056892210673
1.06,261.4033219909989
1.065,261.6904757834181
1.07,261.3756099254536
1.075,260.8134539292441
1.08,261.3970210994491
1.085,259.973840424999
1.09,259.2654289268646
1.095,257.9218619556172
1.1,257.30621360008126
1.105,259.5968245120483
1.11,256.187366156073
1.115,257.5080166612855
1.12,256.0577981917722
1.125,257.45512784963745
1.13,255.38975584855476
1.135,257.3869853991489
1.14,256.0000002614298
1.145,257.0146196839814
1.15,257.07893644264476
1.155,257.53983140183124
1.16,258.17978047185625
1.165,258.2468544791681
1.17,257.8821902748691
1.175,257.6732613897713
1.18,258.4858267501181
1.185,257.1804687261935
1.19,259.3005958759796
1.195,256.6983540134593
1.2,260.41843099727345
1.205,258.90384445760026
1.21,258.42233110241716
1.215,258.72842648198406
1.22,258.846323570786
1.225,256.6513368071284
1.23,258.120885266003
1.235,256.14757552959577
1.24,256.44360631709117
1.245,258.5607346523219
1.25,256.996598427084
1.255,256.3925518316338
1.26,257.17990003503553
1.265,256.47819027980165
1.27,255.90002328476112
1.275,256.87617960979225
1.28,254.3355092199716
1.285,254.43316097154323
1.29,253.76924893962308
1.295,252.71204137274566
1.3,250.4096942424121
1.305,251.4017434322181
1.31,252.70337529771598
1.315,250.10414287870117
1.32,251.7582971387653
1.325,248.8855402444704
1.33,247.02526133372814
1.335,251.03581184258678
1.34,253.60032428266783
1.345,254.47474466887607
1.35,256.48986879640836
1.355,257.2186738240559
1.36,255.1230344861107
1.365,254.64075619997348
1.37,257.7305606832132
1.375,255.7974920229873
1.38,255.32043095322686
1.385,255.72399640679618
1.39,255.21390334196067
1.395,255.77453464277977
1.4,255.33072435923845
1.405,254.70444711414848
1.41,254.25868685716148
1.415,256.13256500694206
1.42,257.2196313750959
1.425,255.40804975012057
1.43,255.0119593847137
1.435,256.0134961077096
1.44,256.60449397980574
1.445,253.83754976645673
1.45,250.45083150430372
1.455,247.10760702627022
1.46,247.9874951686564
1.465,248.25928189791253
1.47,247.00850082209664
1.475,246.43201413224165
1.48,247.7712494171564
1.485,248.72878636291648
1.49,249.2848840483356
1.495,248.25656626555497
1.5,249.2187039241862
1.505,253.08287512575762
1.51,255.79683694309136
1.515,262.7763280525379
1.52,263.981896242716
1.525,262.36562487231237
1.53,261.6072119796356
1.535,261.1187582924509
1.54,259.97962912175456
1.545,258.37220356247775
1.55,258.42367592011266
1.555,259.5980180835673
1.56,260.2878637599524
1.565,260.7028055062539
1.57,260.5525180338218
1.575,260.04563811316876
1.58,260.2763426249963
1.585,259.24734106847154
1.59,258.8608010529578
1.595,258.88827817466546
1.6,257.9166360941454
1.605,257.7826823945629
1.61,256.84307833458587
1.615,254.7708908924286
1.62,256.6366745049122
1.625,254.91606787025793
1.63,254.21305235686046
1.635,255.57699610293108
1.64,255.32862607436599
1.645,255.37805668544547
1.65,255.7016212523594
1.655,258.11174723814725
1.66,258.21013264514465
1.665,258.33592020324073
1.67,260.1366097855086
1.675,258.0501039142064
1.68,261.47473471030617
