time,frequency
0.0,0.0
0.005,0.0
0.01,0.0
0.015,0.0
0.02,0.0
0.025,0.0
0.03,0.0
0.035,0.0
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095,0.0
0.1,0.0
0.105,0.0
0.11,0.0
0.115,0.0
0.12,0.0
0.125,0.0
0.13,0.0
0.135,0.0
0.14,0.0
0.145,0.0
0.15,0.0
0.155,0.0
0.16,0.0
0.165,0.0
0.17,72.25716660367587
0.175,103.21084258621354
0.18,108.27045496106476
0.185,116.66774786017614
0.19,115.67926869751614
0.195,90.97291000241913
0.2,90.39226207024039
0.205,87.95332703364512
0.21,81.24907976788073
0.215,70.0730799716418
0.22,0.0
0.225,0.0
0.23,0.0
0.235,0.0
0.24,0.0
0.245,0.0
0.25,0.0
0.255,0.0
0.26,0.0
0.265,0.0
0.27,0.0
0.275,0.0
0.28,0.0
0.285,0.0
0.29,0.0
0.295,0.0
0.3,0.0
0.305,0.0
0.31,0.0
0.315,0.0
0.32,0.0
0.325,0.0
0.33,0.0
0.335,0.0
0.34,0.0
0.345,0.0
0.35,0.0
0.355,0.0
0.36,0.0
0.365,0.0
0.37,0.0
0.375,0.0
0.38,0.0
0.385,0.0
0.39,0.0
0.395,0.0
0.4,0.0
0.405,0.0
0.41,0.0
0.415,0.0
0.42,0.0
0.425,0.0
0.43,0.0
0.435,0.0
0.44,0.0
0.445,0.0
0.45,0.0
0.455,0.0
0.46,0.0
0.465,0.0
0.47,0.0
0.475,0.0
0.48,0.0
0.485,0.0
0.49,0.0
0.495,0.0
0.5,0.0
0.505,0.0
0.51,0.0
0.515,0.0
0.52,0.0
0.525,0.0
0.53,0.0
0.535,0.0
0.54,0.0
0.545,0.0
0.55,0.0
0.555,0.0
0.56,0.0
0.565,0.0
0.57,0.0
0.575,0.0
0.58,0.0
0.585,0.0
0.59,0.0
0.595,0.0
0.6,0.0
0.605,0.0
0.61,0.0
0.615,0.0
0.62,0.0
0.625,0.0
0.63,0.0
0.635,0.0
0.64,0.0
0.645,0.0
0.65,0.0
0.655,0.0
0.66,0.0
0.665,0.0
0.67,0.0
0.675,0.0
0.68,0.0
0.685,0.0
0.69,0.0
0.695,0.0
0.7,0.0
0.705,0.0
0.71,0.0
0.715,0.0
0.72,0.0
0.725,0.0
0.73,0.0
0.735,0.0
0.74,0.0
0.745,0.0
0.75,0.0
0.755,0.0
0.76,0.0
0.765,0.0
0.77,0.0
0.775,0.0
0.78,0.0
0.785,0.0
0.79,0.0
0.795,0.0
0.8,0.0
0.805,0.0
0.81,0.0
0.815,0.0
0.82,0.0
0.825,0.0
0.83,0.0
0.835,0.0
0.84,0.0
0.845,0.0
0.85,0.0
0.855,208.36017412987093
0.86,259.449884322746
0.865,245.6213963436934
0.87,231.11676136922736
0.875,252.79270712395885
0.88,246.80364442125747
0.885,238.81180820145053
0.89,239.1046046688665
0.895,237.8633524324164
0.9,239.03574598170124
0.905,237.26543801581244
0.91,238.26385364458486
0.915,238.11039703932113
0.92,238.9840375791365
0.925,238.9389856205527
0.93,240.06667088381843
0.935,240.58684406333492
0.94,240.46257590312666
0.945,237.96176039185727
0.95,234.5692846365878
0.955,236.97240127760313
0.96,236.61109196403046
0.965,235.70515512300094
0.97,236.81355150943958
0.975,235.32714517531397
0.98,234.7180358419809
0.985,235.33180302828865
0.99,235.81308069629242
0.995,237.2400169744205
1.0,240.90940310041168
1.005,242.87543318839244
1.01,240.4776441737068
1.015,239.76887448005118
1.02,237.7449211203156
1.025,236.4335246242603
1.03,237.03460867003508
1.035,236.17718419451185
1.04,240.04610753399865
1.045,273.0927659399335
1.05,298.84359959842214
1.055,267.5246349642143
1.06,261.1546914937992
1.065,261.5852832773075
1.07,261.5373535186624
1.075,260.8294329202143
1.08,261.3960225333891
1.085,259.95727054348714
1.09,259.2770559277605
1.095,257.9344402845398
1.1,257.3186010660774
1.105,259.57660268866607
1.11,256.19258818270555
1.115,257.50364604001874
1.12,256.04703747693605
1.125,257.461840636915
1.13,255.39662099530844
1.135,257.3913783958691
1.14,256.0008508301273
1.145,257.01866272672027
1.15,257.08185191623966
1.155,257.5285989367424
1.16,258.18088366827965
1.165,258.2467035852912
1.17,257.8945298754556
1.175,257.6694480491247
1.18,258.48583268321045
1.185,257.18571093598
1.19,259.2871333557632
1.195,256.698187462193
1.2,260.4073587280995
1.205,258.91617403360414
1.21,258.42194395191586
1.215,258.72807837246404
1.22,258.84111375020933
1.225,256.6429031368425
1.23,258.11334407786967
1.235,256.1395294627433
1.24,256.45384381997985
1.245,258.56541961720586
1.25,257.01012313572045
1.255,256.4183674233332
1.26,257.1883623324523
1.265,256.4735889293615
1.27,255.9011022629167
1.275,256.8532335871706
1.28,254.35771983462374
1.285,254.44816432978396
1.29,253.7638499055356
1.295,252.77649463076008
1.3,250.4126494399586
1.305,251.40340743166516
1.31,252.71777315263088
1.315,250.075338772303
1.32,251.8152776552008
1.325,248.90065906284238
1.33,247.6100766251708
1.335,251.52238284017744
1.34,253.6451678030042
1.345,254.50513311132414
1.35,256.5002777224128
1.355,257.21400011643107
1.36,255.1228177136843
1.365,254.62955644602002
1.37,257.7461670937904
1.375,255.814284326516
1.38,255.29886165148233
1.385,255.73474025041511
1.39,255.21635235359426
1.395,255.7686558198911
1.4,255.34564401256236
1.405,254.70129086193992
1.41,254.2474347816413
1.415,256.1429861748584
1.42,257.2088185635604
1.425,255.40310815214428
1.43,255.01780135698658
1.435,255.98548174569714
1.44,256.62093142326523
1.445,253.83983478363294
1.45,250.43627856757837
1.455,247.10963681692678
1.46,248.025638808262
1.465,248.2404929035016
1.47,247.2026357142688
1.475,246.52447584995073
1.48,247.7194806366476
1.485,248.78876885324195
1.49,249.3140392246548
1.495,248.38226870204926
1.5,249.20830874361528
1.505,253.14677490508603
1.51,255.8383285756508
1.515,262.70401361097765
1.52,264.03602603488724
1.525,262.34140182360585
1.53,261.66844627744587
1.535,261.1275098431629
1.54,260.0010512849151
1.545,258.3071153452537
1.55,258.4457907189024
1.555,259.569774537669
1.56,260.340144160366
1.565,260.6965376200145
1.57,260.60524966178986
1.575,260.06816322843304
1.58,260.2446924668323
1.585,259.23323138548153
1.59,258.8050335200764
1.595,258.9747539773183
1.6,257.8950389457721
1.605,257.8097311209011
1.61,256.78973812737644
1.615,254.7582500715824
1.62,256.6524028414916
1.625,254.87607731133636
1.63,254.25985492827581
1.635,255.60224340296017
1.64,255.2840504267094
1.645,255.39557773792222
1.65,255.64720923820278
1.655,258.12982594805294
