index,pitch,start,end,velocity
1,69,0.882,1.101,80
2,70,1.103,1.322,80
3,72,1.324,1.542,80
4,70,1.544,2.204,80
5,69,2.206,2.425,80
6,67,2.426,2.866,80
7,65,2.868,3.086,80
8,67,3.088,4.189,80
9,65,4.632,4.851,80
10,64,4.853,5.072,80
11,64,5.074,5.954,80
12,69,5.956,6.395,80
13,69,6.397,6.836,80
14,69,6.838,7.278,80
15,67,7.279,7.498,80
16,65,7.5,7.719,80
17,65,7.721,8.601,80
18,67,8.603,8.822,80
19,67,8.824,9.042,80
20,65,9.044,9.925,80
21,62,10.368,10.586,80
22,65,10.588,10.807,80
23,63,10.809,11.248,80
24,62,11.25,11.469,80
25,63,11.471,11.91,80
26,65,11.912,12.351,80
27,65,12.353,13.454,80
28,69,13.456,13.895,80
29,70,13.897,14.336,80
30,72,14.338,14.778,80
31,72,14.779,14.998,80
32,65,15.0,15.219,80
33,65,15.221,16.101,80
34,62,16.103,16.322,80
35,65,16.324,17.425,80
36,69,17.426,17.866,80
37,70,17.868,18.307,80
38,72,18.309,18.748,80
39,72,18.75,18.969,80
40,65,18.971,19.189,80
41,65,19.191,19.851,80
42,69,19.853,20.072,80
43,67,20.074,20.292,80
44,69,20.294,20.513,80
45,67,20.515,21.395,80
46,64,21.838,22.057,80
47,62,22.059,22.278,80
48,60,22.279,23.16,80
49,72,23.162,24.042,80
50,68,24.044,24.925,80
51,69,24.926,25.807,80
52,70,25.809,26.248,80
53,69,26.25,26.469,80
54,67,26.471,26.91,80
55,65,26.912,27.131,80
56,67,27.132,28.454,80
57,69,30.221,30.439,80
58,70,30.441,30.66,80
59,72,30.662,30.881,80
60,70,30.882,31.542,80
61,69,31.544,31.763,80
62,67,31.765,32.204,80
63,65,32.206,32.645,80
64,67,32.647,34.189,80
65,69,34.191,34.41,80
66,70,34.412,34.631,80
67,69,34.632,35.513,80
68,69,35.515,35.954,80
69,69,35.956,36.395,80
70,69,36.397,36.836,80
71,67,36.838,37.057,80
72,65,37.059,37.278,80
73,65,37.279,37.939,80
74,67,37.941,38.381,80
75,67,38.382,38.601,80
76,65,38.603,39.483,80
77,62,39.926,40.145,80
78,65,40.147,40.366,80
79,63,40.368,40.807,80
80,62,40.809,41.028,80
81,63,41.029,41.469,80
82,65,41.471,41.91,80
83,65,41.912,43.013,80
84,69,43.015,43.454,80
85,70,43.456,43.895,80
86,72,43.897,44.336,80
87,72,44.338,44.557,80
88,65,44.559,44.778,80
89,65,44.779,45.66,80
90,62,45.662,45.881,80
91,65,45.882,46.983,80
92,69,46.985,47.425,80
93,70,47.426,47.866,80
94,72,47.868,48.307,80
95,72,48.309,48.528,80
96,65,48.529,48.748,80
97,65,48.75,49.41,80
98,69,49.412,49.631,80
99,67,49.632,49.851,80
100,69,49.853,50.072,80
101,67,50.074,50.954,80
102,64,51.397,51.616,80
103,62,51.618,51.836,80
104,60,51.838,52.719,80
105,72,52.721,53.601,80
106,68,53.603,54.483,80
107,69,54.485,55.366,80
108,70,55.368,55.807,80
109,69,55.809,56.028,80
110,67,56.029,56.469,80
111,65,56.471,56.689,80
112,65,56.691,58.013,80
113,67,58.456,58.675,80
114,69,58.676,58.895,80
115,70,58.897,59.336,80
116,70,59.338,59.557,80
117,70,59.559,59.998,80
118,72,60.0,60.439,80
119,72,60.441,61.542,80
120,72,61.544,61.983,80
121,76,61.985,62.425,80
122,77,62.426,63.086,80
123,72,63.088,63.307,80
124,72,63.309,64.189,80
125,73,64.191,64.41,80
126,82,64.632,65.292,80
127,81,65.294,65.733,80
128,79,65.735,65.954,80
129,79,65.956,66.395,80
130,77,66.397,66.616,80
131,77,66.618,68.601,80
132,77,68.824,69.042,80
133,76,69.044,69.263,80
134,77,69.265,69.483,80
135,74,69.485,70.366,80
136,77,70.588,70.807,80
137,76,70.809,71.028,80
138,77,71.029,71.248,80
139,72,71.25,72.131,80
140,72,72.353,72.572,80
141,70,72.574,72.792,80
142,69,72.794,73.013,80
143,70,73.015,73.454,80
144,69,73.456,73.675,80
145,70,73.676,74.116,80
146,81,74.118,74.557,80
147,82,74.559,74.998,80
148,81,75.0,75.219,80
149,79,75.221,75.66,80
150,72,75.662,76.101,80
151,76,76.103,76.542,80
152,77,76.544,77.204,80
153,72,77.206,77.425,80
154,72,77.426,78.307,80
155,73,78.309,78.748,80
156,82,78.75,79.41,80
157,81,79.412,79.851,80
158,79,79.853,80.072,80
159,79,80.074,80.513,80
160,77,80.515,80.733,80
161,77,80.735,82.719,80
162,77,82.721,82.939,80
163,79,82.941,83.16,80
164,81,83.162,83.381,80
165,77,83.382,83.601,80
166,84,83.603,84.704,80
167,82,84.706,84.925,80
168,81,84.926,85.145,80
169,81,85.147,85.366,80
170,77,85.368,86.248,80
171,72,86.471,86.689,80
172,70,86.691,86.91,80
173,69,86.912,87.131,80
174,70,87.132,87.572,80
175,69,87.574,87.792,80
176,70,87.794,88.233,80
177,81,88.235,88.675,80
178,79,88.676,90.66,80
179,69,93.309,93.528,80
180,70,93.529,93.748,80
181,72,93.75,93.969,80
182,70,93.971,94.631,80
183,69,94.632,94.851,80
184,67,94.853,95.072,80
185,67,95.074,95.292,80
186,65,95.294,95.513,80
187,65,95.515,95.733,80
188,67,95.735,96.836,80
189,69,97.279,97.498,80
190,70,97.5,97.719,80
191,69,97.721,98.601,80
192,69,98.603,99.042,80
193,69,99.044,99.483,80
194,69,99.485,99.925,80
195,67,99.926,100.145,80
196,65,100.147,100.366,80
197,65,100.368,101.028,80
198,67,101.029,101.469,80
199,67,101.471,101.689,80
200,65,101.691,102.572,80
201,62,103.015,103.233,80
202,65,103.235,103.454,80
203,63,103.456,103.895,80
204,62,103.897,104.116,80
205,63,104.118,104.557,80
206,65,104.559,104.998,80
207,65,105.0,106.101,80
208,69,106.103,106.395,96
209,70,106.544,106.983,80
210,72,106.985,107.425,80
211,72,107.426,107.645,80
212,65,107.647,107.866,80
213,65,107.868,108.748,80
214,62,108.75,108.969,80
215,65,108.971,110.072,80
216,69,110.074,110.513,80
217,70,110.515,110.954,80
218,72,110.956,111.395,80
219,72,111.397,111.616,80
220,65,111.618,111.836,80
221,65,111.838,112.498,80
222,69,112.5,112.719,80
223,67,112.721,112.939,80
224,69,112.941,113.16,80
225,67,113.162,114.042,80
226,64,114.485,114.704,80
227,62,114.706,114.925,80
228,60,114.926,115.807,80
229,72,115.809,116.689,80
230,68,116.691,117.572,80
231,69,117.574,118.454,80
232,70,118.456,118.895,80
233,69,118.897,119.116,80
234,67,119.118,119.557,80
235,65,119.559,119.778,80
236,65,119.779,121.101,80
237,67,121.544,121.763,80
238,69,121.765,121.983,80
239,70,121.985,122.425,80
240,70,122.426,122.645,80
241,70,122.647,123.086,80
242,72,123.088,123.528,80
243,72,123.529,124.631,80
244,72,124.632,125.072,80
245,76,125.074,125.513,80
246,77,125.515,126.175,80
247,72,126.176,126.395,80
248,72,126.397,127.278,80
249,73,127.279,127.498,80
250,82,127.721,128.381,80
251,81,128.382,128.822,80
252,79,128.824,129.042,80
253,79,129.044,129.483,80
254,77,129.485,129.704,80
255,77,129.706,131.689,80
256,77,131.912,132.131,80
257,76,132.132,132.351,80
258,77,132.353,132.572,80
259,74,132.574,133.454,80
260,77,133.676,133.895,80
261,76,133.897,134.116,80
262,77,134.118,134.336,80
263,72,134.338,135.219,80
264,72,135.441,135.66,80
265,70,135.662,135.881,80
266,69,135.882,136.101,80
267,70,136.103,136.542,80
268,69,136.544,136.763,80
269,70,136.765,137.204,80
270,81,137.206,137.645,80
271,82,137.647,138.086,80
272,81,138.088,138.307,80
273,79,138.309,138.748,80
274,72,138.75,139.189,80
275,76,139.191,139.631,80
276,77,139.632,140.292,80
277,72,140.294,140.513,80
278,72,140.515,141.395,80
279,73,141.397,141.836,80
280,82,141.838,142.498,80
