time,frequency,confidence
0.000,180.519,0.139676
0.010,175.515,0.108233
0.020,176.272,0.157494
0.030,177.471,0.206203
0.040,178.076,0.258518
0.050,177.751,0.337894
0.060,178.679,0.355294
0.070,181.612,0.585612
0.080,197.536,0.311317
0.090,198.959,0.353455
0.100,203.792,0.347169
0.110,213.077,0.410450
0.120,226.046,0.424739
0.130,238.733,0.604952
0.140,245.630,0.814385
0.150,247.402,0.915732
0.160,246.048,0.870596
0.170,243.081,0.883876
0.180,239.731,0.887001
0.190,235.655,0.826692
0.200,231.896,0.854607
0.210,228.643,0.919040
0.220,228.346,0.924285
0.230,230.177,0.871296
0.240,234.130,0.856670
0.250,239.722,0.859103
0.260,243.389,0.883752
0.270,245.634,0.946344
0.280,246.066,0.937634
0.290,246.213,0.933560
0.300,246.459,0.925910
0.310,246.454,0.926545
0.320,246.153,0.938414
0.330,245.837,0.952927
0.340,246.028,0.944173
0.350,246.353,0.929503
0.360,246.818,0.932713
0.370,247.538,0.952938
0.380,248.303,0.951415
0.390,248.889,0.934208
0.400,248.755,0.937616
0.410,247.828,0.953687
0.420,246.671,0.923650
0.430,245.050,0.921983
0.440,241.848,0.745500
0.450,235.884,0.468383
0.460,235.308,0.344599
0.470,248.193,0.380984
0.480,276.029,0.339204
0.490,292.051,0.364388
0.500,300.234,0.659227
0.510,302.830,0.829191
0.520,304.568,0.929601
0.530,308.204,0.954253
0.540,311.143,0.957606
0.550,312.380,0.968826
0.560,313.217,0.967559
0.570,313.537,0.965273
0.580,313.370,0.968534
0.590,312.511,0.974919
0.600,311.634,0.969469
0.610,311.352,0.964808
0.620,311.488,0.965684
0.630,312.053,0.968062
0.640,312.769,0.970108
0.650,313.414,0.964963
0.660,313.879,0.953639
0.670,314.315,0.949248
0.680,314.755,0.958777
0.690,315.094,0.966776
0.700,314.766,0.961153
0.710,314.066,0.949665
0.720,312.824,0.974133
0.730,312.473,0.972401
0.740,312.729,0.969149
0.750,313.773,0.949539
0.760,314.928,0.955341
0.770,315.067,0.958047
0.780,314.820,0.955717
0.790,313.449,0.959374
0.800,311.675,0.930911
0.810,309.394,0.773199
0.820,308.518,0.629943
0.830,312.495,0.441272
0.840,309.029,0.278460
0.850,290.638,0.180558
0.860,275.698,0.083106
0.870,276.849,0.067115
0.880,242.106,0.036708
0.890,248.043,0.042938
0.900,257.541,0.025832
0.910,266.144,0.027936
0.920,269.539,0.030812
0.930,270.572,0.035183
0.940,270.624,0.303893
0.950,274.286,0.525932
0.960,278.591,0.641875
0.970,284.067,0.592462
0.980,293.169,0.711099
0.990,298.031,0.894112
1.000,302.580,0.936718
1.010,307.337,0.923588
1.020,311.070,0.953443
1.030,311.731,0.967811
1.040,310.001,0.950525
1.050,306.114,0.956812
1.060,303.848,0.961070
1.070,302.645,0.957501
1.080,301.848,0.964248
1.090,301.538,0.963799
1.100,301.694,0.965360
1.110,301.942,0.964747
1.120,302.150,0.963739
1.130,302.178,0.964743
1.140,301.826,0.966077
1.150,301.469,0.964181
1.160,301.772,0.960961
1.170,303.690,0.934795
1.180,308.399,0.898507
1.190,314.526,0.836100
1.200,324.544,0.787091
1.210,331.348,0.937622
1.220,334.711,0.956111
1.230,335.980,0.944167
1.240,336.248,0.941350
1.250,335.956,0.955674
1.260,335.009,0.970645
1.270,333.465,0.966971
1.280,331.554,0.969330
1.290,329.989,0.970772
1.300,329.483,0.964970
1.310,329.837,0.970620
1.320,330.238,0.979006
1.330,330.122,0.977496
1.340,329.773,0.971267
1.350,330.099,0.974571
1.360,330.717,0.975982
1.370,331.178,0.976109
1.380,331.336,0.974439
1.390,331.123,0.975105
1.400,330.857,0.977910
1.410,330.235,0.972421
1.420,329.675,0.964939
1.430,329.605,0.962824
1.440,329.690,0.966859
1.450,329.539,0.968868
1.460,328.997,0.951756
1.470,327.050,0.930697
1.480,321.906,0.861790
1.490,316.609,0.900839
1.500,311.967,0.881832
1.510,306.330,0.782641
1.520,300.538,0.718093
1.530,282.397,0.415069
1.540,255.951,0.635479
1.550,251.442,0.816326
1.560,247.466,0.899924
1.570,245.777,0.936903
1.580,245.742,0.940477
1.590,246.442,0.918815
1.600,247.331,0.948648
1.610,247.706,0.957708
1.620,247.712,0.956166
1.630,247.503,0.958029
1.640,247.368,0.953790
1.650,247.191,0.949200
1.660,246.901,0.939771
1.670,246.808,0.933869
1.680,247.068,0.942841
1.690,247.440,0.949499
1.700,247.552,0.952011
1.710,247.397,0.950253
1.720,247.200,0.945626
1.730,246.657,0.924469
1.740,245.917,0.946807
1.750,244.908,0.954030
1.760,244.373,0.944388
1.770,244.586,0.949021
1.780,245.643,0.924694
1.790,246.427,0.894101
1.800,247.859,0.916361
1.810,249.445,0.928892
1.820,252.201,0.930896
1.830,254.072,0.968589
1.840,254.243,0.968904
1.850,252.266,0.923586
1.860,249.238,0.917071
1.870,246.977,0.935171
1.880,245.701,0.956052
1.890,244.780,0.967114
1.900,243.863,0.939224
1.910,242.291,0.974829
1.920,240.339,0.938193
1.930,238.260,0.921920
1.940,237.761,0.938121
1.950,238.881,0.945612
1.960,242.394,0.963698
1.970,244.465,0.955674
1.980,246.485,0.924336
1.990,248.261,0.945084
2.000,249.211,0.911141
2.010,248.671,0.914712
2.020,247.094,0.908174
2.030,243.418,0.881787
2.040,239.472,0.937085
2.050,236.782,0.940630
2.060,235.504,0.919172
2.070,236.703,0.928249
2.080,240.797,0.867248
2.090,246.832,0.894389
2.100,251.330,0.947024
2.110,254.395,0.959299
2.120,255.515,0.942099
2.130,254.632,0.882591
2.140,248.551,0.576622
2.150,238.791,0.417280
2.160,211.476,0.350132
2.170,207.804,0.411709
2.180,220.336,0.225994
2.190,241.286,0.317063
2.200,235.176,0.331902
2.210,220.624,0.237332
2.220,204.294,0.180956
2.230,219.620,0.183304
2.240,241.368,0.149981
2.250,255.475,0.182854
2.260,279.257,0.134726
2.270,309.605,0.238654
2.280,329.894,0.193076
2.290,329.813,0.228995
2.300,331.608,0.180391
2.310,331.795,0.164522
2.320,331.727,0.238975
2.330,331.482,0.178125
2.340,330.647,0.233986
2.350,327.449,0.244121
2.360,327.080,0.325031
2.370,329.552,0.263780
2.380,330.801,0.197316
2.390,329.861,0.107644
2.400,330.176,0.053489
2.410,328.119,0.119270
2.420,318.456,0.159921
2.430,303.781,0.189575
2.440,282.974,0.126580
2.450,270.710,0.035255
2.460,267.245,0.023019
2.470,254.059,0.010912
2.480,238.936,0.031777
2.490,227.574,0.263488
2.500,226.292,0.181493
2.510,221.142,0.238363
2.520,213.110,0.088260
2.530,212.682,0.184323
2.540,213.976,0.107450
2.550,217.924,0.190222
2.560,219.778,0.220673
2.570,219.015,0.161724
2.580,217.535,0.137400
2.590,217.949,0.154228
2.600,220.325,0.062013
2.610,224.071,0.048375
2.620,223.597,0.017241
2.630,232.000,0.066254
2.640,233.275,0.128466
2.650,241.894,0.282030
2.660,277.085,0.175954
2.670,308.394,0.214149
2.680,301.305,0.278828
2.690,301.227,0.318033
2.700,291.418,0.368326
2.710,268.178,0.701586
2.720,267.101,0.920083
2.730,268.606,0.957471
2.740,269.188,0.970573
2.750,268.255,0.969563
2.760,267.121,0.948526
2.770,266.464,0.965964
2.780,266.586,0.960484
2.790,267.437,0.960551
2.800,268.452,0.974750
2.810,268.596,0.974881
2.820,267.995,0.972313
2.830,267.009,0.942814
2.840,265.615,0.975033
2.850,264.478,0.952680
2.860,263.312,0.960387
2.870,262.297,0.970299
2.880,261.669,0.961167
2.890,261.195,0.944608
2.900,260.823,0.939000
2.910,260.901,0.936308
2.920,261.012,0.937393
2.930,261.380,0.949692
2.940,261.196,0.945269
2.950,260.740,0.944095
2.960,260.726,0.944392
2.970,260.790,0.940823
2.980,261.156,0.945656
2.990,260.747,0.945727
3.000,259.971,0.961599
3.010,258.881,0.959325
3.020,257.534,0.961436
3.030,255.573,0.945117
3.040,253.039,0.932420
3.050,249.017,0.847647
3.060,243.898,0.796041
3.070,238.061,0.586809
3.080,233.755,0.498915
3.090,236.293,0.547481
3.100,241.507,0.633635
3.110,244.274,0.609886
3.120,268.220,0.406902
3.130,304.331,0.261288
3.140,321.977,0.300844
3.150,349.215,0.496148
3.160,364.122,0.596683
3.170,386.922,0.649498
3.180,397.905,0.824493
3.190,408.158,0.760086
3.200,412.644,0.795698
3.210,413.860,0.783518
3.220,413.840,0.690685
3.230,413.884,0.661099
3.240,413.804,0.748705
3.250,413.101,0.817731
3.260,411.566,0.881517
3.270,409.099,0.823069
3.280,406.468,0.847950
3.290,404.025,0.794710
3.300,402.792,0.750806
3.310,403.602,0.688154
3.320,404.501,0.781595
3.330,405.028,0.818956
3.340,403.887,0.793010
3.350,401.188,0.737829
3.360,397.089,0.738470
3.370,394.510,0.800404
3.380,393.742,0.921454
3.390,395.636,0.850802
3.400,405.538,0.676294
3.410,418.214,0.835500
3.420,427.811,0.896046
3.430,438.036,0.919466
3.440,444.040,0.932697
3.450,445.598,0.941540
3.460,445.976,0.943079
3.470,444.869,0.937644
3.480,442.164,0.966561
3.490,437.556,0.944628
3.500,431.865,0.942740
3.510,427.055,0.899966
3.520,419.123,0.859099
3.530,415.961,0.884648
3.540,417.374,0.893895
3.550,422.195,0.890730
3.560,429.341,0.904887
3.570,435.987,0.948284
3.580,439.978,0.942114
3.590,441.269,0.944220
3.600,441.230,0.953983
3.610,439.305,0.925111
3.620,435.826,0.947080
3.630,431.520,0.944205
3.640,427.273,0.915395
3.650,422.849,0.911693
3.660,423.182,0.910596
3.670,428.776,0.890001
3.680,435.113,0.934526
3.690,441.055,0.960138
3.700,444.293,0.925228
3.710,445.319,0.948570
3.720,444.807,0.939898
3.730,442.485,0.932648
3.740,436.971,0.839729
3.750,427.877,0.560747
3.760,398.135,0.856677
3.770,396.099,0.933696
3.780,393.421,0.948553
3.790,387.864,0.920154
3.800,384.758,0.932473
3.810,384.135,0.929886
3.820,386.345,0.885546
3.830,390.295,0.931745
3.840,392.414,0.960255
3.850,393.561,0.962026
3.860,393.775,0.958506
3.870,393.478,0.956654
3.880,392.094,0.944021
3.890,390.475,0.932311
3.900,388.285,0.946936
3.910,386.249,0.907085
3.920,383.787,0.926812
3.930,382.314,0.911914
3.940,383.079,0.918497
3.950,387.327,0.887517
3.960,393.979,0.844759
3.970,405.264,0.771078
3.980,415.263,0.873315
3.990,419.767,0.871231
4.000,422.320,0.932119
4.010,423.637,0.927606
4.020,424.511,0.919083
4.030,424.385,0.912606
4.040,424.147,0.916604
4.050,424.154,0.919121
4.060,424.607,0.925740
4.070,425.278,0.940598
4.080,425.454,0.923433
4.090,424.605,0.851457
4.100,422.906,0.698291
4.110,417.904,0.581182
4.120,409.230,0.604217
4.130,402.951,0.769482
4.140,399.208,0.709607
4.150,398.196,0.677316
4.160,398.227,0.342939
4.170,387.651,0.416560
4.180,354.360,0.293692
4.190,351.199,0.505246
4.200,352.274,0.652043
4.210,359.921,0.667156
4.220,363.603,0.885806
4.230,364.680,0.909302
4.240,366.668,0.914250
4.250,369.570,0.863286
4.260,371.131,0.768220
4.270,370.920,0.749498
4.280,369.826,0.748514
4.290,368.839,0.733130
4.300,369.423,0.788759
4.310,370.432,0.835402
4.320,370.875,0.800910
4.330,371.179,0.766546
4.340,371.268,0.841585
4.350,371.932,0.892007
4.360,373.371,0.910703
4.370,375.914,0.933132
