time,frequency,confidence
0.0,0.0,1.0
0.005,0.0,1.0
0.01,0.0,1.0
0.015,0.0,1.0
0.02,0.0,1.0
0.025,0.0,1.0
0.03,0.0,1.0
0.035,0.0,1.0
0.04,0.0,1.0
0.045,0.0,1.0
0.05,0.0,1.0
0.055,0.0,1.0
0.06,0.0,1.0
0.065,0.0,1.0
0.07,0.0,1.0
0.075,0.0,1.0
0.08,0.0,1.0
0.085,0.0,1.0
0.09,0.0,1.0
0.095,0.0,1.0
0.1,0.0,1.0
0.105,0.0,1.0
0.11,0.0,1.0
0.115,0.0,1.0
0.12,0.0,1.0
0.125,0.0,1.0
0.13,0.0,1.0
0.135,0.0,1.0
0.14,0.0,1.0
0.145,0.0,1.0
0.15,0.0,1.0
0.155,0.0,1.0
0.16,0.0,1.0
0.165,0.0,1.0
0.17,0.0,1.0
0.175,0.0,1.0
0.18,0.0,1.0
0.185,0.0,1.0
0.19,0.0,1.0
0.195,0.0,1.0
0.2,0.0,1.0
0.205,0.0,1.0
0.21,0.0,1.0
0.215,0.0,1.0
0.22,0.0,1.0
0.225,0.0,1.0
0.23,0.0,1.0
0.235,0.0,1.0
0.24,0.0,1.0
0.245,0.0,1.0
0.25,0.0,1.0
0.255,0.0,1.0
0.26,0.0,1.0
0.265,0.0,1.0
0.27,0.0,1.0
0.275,0.0,1.0
0.28,0.0,1.0
0.285,0.0,1.0
0.29,0.0,1.0
0.295,0.0,1.0
0.3,0.0,1.0
0.305,0.0,1.0
0.31,0.0,1.0
0.315,0.0,1.0
0.32,0.0,1.0
0.325,0.0,1.0
0.33,0.0,1.0
0.335,0.0,1.0
0.34,0.0,1.0
0.345,0.0,1.0
0.35,0.0,1.0
0.355,0.0,1.0
0.36,0.0,1.0
0.365,0.0,1.0
0.37,0.0,1.0
0.375,0.0,1.0
0.38,0.0,1.0
0.385,0.0,1.0
0.39,0.0,1.0
0.395,0.0,1.0
0.4,0.0,1.0
0.405,0.0,1.0
0.41,0.0,1.0
0.415,0.0,1.0
0.42,0.0,1.0
0.425,0.0,1.0
0.43,0.0,1.0
0.435,0.0,1.0
0.44,0.0,1.0
0.445,0.0,1.0
0.45,0.0,1.0
0.455,0.0,1.0
0.46,0.0,1.0
0.465,0.0,1.0
0.47,0.0,1.0
0.475,0.0,1.0
0.48,0.0,1.0
0.485,0.0,1.0
0.49,0.0,1.0
0.495,0.0,1.0
0.5,0.0,1.0
0.505,0.0,1.0
0.51,0.0,1.0
0.515,0.0,1.0
0.52,0.0,1.0
0.525,0.0,1.0
0.53,0.0,1.0
0.535,0.0,1.0
0.54,0.0,1.0
0.545,0.0,1.0
0.55,0.0,1.0
0.555,0.0,1.0
0.56,0.0,1.0
0.565,0.0,1.0
0.57,0.0,1.0
0.575,0.0,1.0
0.58,0.0,1.0
0.585,0.0,1.0
0.59,0.0,1.0
0.595,0.0,1.0
0.6,0.0,1.0
0.605,0.0,1.0
0.61,0.0,1.0
0.615,0.0,1.0
0.62,0.0,1.0
0.625,0.0,1.0
0.63,0.0,1.0
0.635,0.0,1.0
0.64,0.0,1.0
0.645,0.0,1.0
0.65,0.0,1.0
0.655,0.0,1.0
0.66,0.0,1.0
0.665,0.0,1.0
0.67,0.0,1.0
0.675,0.0,1.0
0.68,0.0,1.0
0.685,0.0,1.0
0.69,0.0,1.0
0.695,0.0,1.0
0.7,0.0,1.0
0.705,0.0,1.0
0.71,0.0,1.0
0.715,0.0,1.0
0.72,0.0,1.0
0.725,0.0,1.0
0.73,0.0,1.0
0.735,0.0,1.0
0.74,0.0,1.0
0.745,0.0,1.0
0.75,0.0,1.0
0.755,0.0,1.0
0.76,0.0,1.0
0.765,0.0,1.0
0.77,0.0,1.0
0.775,0.0,1.0
0.78,0.0,1.0
0.785,0.0,1.0
0.79,0.0,1.0
0.795,0.0,1.0
0.8,0.0,1.0
0.805,0.0,1.0
0.81,0.0,1.0
0.815,0.0,1.0
0.82,0.0,1.0
0.825,0.0,1.0
0.83,0.0,1.0
0.835,0.0,1.0
0.84,0.0,1.0
0.845,0.0,1.0
0.85,224.98,1.0
0.855,264.19,1.0
0.86,274.84,1.0
0.865,262.09,1.0
0.87,258.4,1.0
0.875,282.59,1.0
0.88,270.0,1.0
0.885,238.42,1.0
0.89,235.57,1.0
0.895,252.04,1.0
0.9,247.54,1.0
0.905,243.53,1.0
0.91,246.81,1.0
0.915,241.39,1.0
0.92,243.47,1.0
0.925,241.52,1.0
0.93,242.5,1.0
0.935,240.72,1.0
0.94,239.14,1.0
0.945,238.02,1.0
0.95,236.29,1.0
0.955,237.44,1.0
0.96,236.08,1.0
0.965,236.1,1.0
0.97,235.72,1.0
0.975,236.34,1.0
0.98,234.59,1.0
0.985,234.54,1.0
0.99,233.27,1.0
0.995,232.69,1.0
1.0,232.17,1.0
1.005,232.72,1.0
1.01,236.3,1.0
1.015,238.84,1.0
1.02,241.82,1.0
1.025,241.28,1.0
1.03,238.32,1.0
1.035,236.79,1.0
1.04,241.84,1.0
1.045,241.21,1.0
1.05,241.33,1.0
1.055,237.67,1.0
1.06,242.11,1.0
1.065,235.86,1.0
1.07,255.3,1.0
1.075,264.39,1.0
1.08,257.77,1.0
1.085,254.26,1.0
1.09,254.3,1.0
1.095,255.29,1.0
1.1,255.48,1.0
1.105,254.27,1.0
1.11,252.83,1.0
1.115,251.11,1.0
1.12,249.08,1.0
1.125,249.81,1.0
1.13,248.9,1.0
1.135,248.45,1.0
1.14,247.95,1.0
1.145,248.84,1.0
1.15,249.33,1.0
1.155,250.2,1.0
1.16,250.33,1.0
1.165,250.72,1.0
1.17,250.0,1.0
1.175,250.42,1.0
1.18,251.17,1.0
1.185,250.42,1.0
1.19,250.68,1.0
1.195,250.84,1.0
1.2,251.38,1.0
1.205,250.61,1.0
1.21,251.19,1.0
1.215,250.93,1.0
1.22,251.54,1.0
1.225,251.65,1.0
1.23,251.83,1.0
1.235,250.87,1.0
1.24,251.73,1.0
1.245,252.25,1.0
1.25,251.86,1.0
1.255,252.25,1.0
1.26,252.07,1.0
1.265,252.0,1.0
1.27,251.82,1.0
1.275,250.81,1.0
1.28,250.43,1.0
1.285,249.98,1.0
1.29,249.7,1.0
1.295,249.33,1.0
1.3,249.6,1.0
1.305,248.1,1.0
1.31,248.05,1.0
1.315,248.46,1.0
1.32,247.59,1.0
1.325,249.18,1.0
1.33,249.25,1.0
1.335,248.85,1.0
1.34,251.09,1.0
1.345,248.48,1.0
1.35,248.05,1.0
1.355,246.91,1.0
1.36,246.94,1.0
1.365,247.77,1.0
1.37,252.45,1.0
1.375,255.39,1.0
1.38,257.84,1.0
1.385,256.88,1.0
1.39,256.23,1.0
1.395,256.33,1.0
1.4,256.25,1.0
1.405,255.83,1.0
1.41,254.51,1.0
1.415,254.57,1.0
1.42,254.18,1.0
1.425,254.04,1.0
1.43,254.1,1.0
1.435,254.14,1.0
1.44,254.12,1.0
1.445,255.96,1.0
1.45,254.71,1.0
1.455,254.76,1.0
1.46,254.3,1.0
1.465,255.29,1.0
1.47,254.22,1.0
1.475,255.57,1.0
1.48,255.09,1.0
1.485,250.85,1.0
1.49,250.59,1.0
1.495,248.74,1.0
1.5,249.89,1.0
1.505,249.53,1.0
1.51,249.16,1.0
1.515,250.74,1.0
1.52,250.82,1.0
1.525,251.54,1.0
1.53,251.39,1.0
1.535,252.59,1.0
1.54,252.65,1.0
1.545,253.92,1.0
1.55,259.64,1.0
1.555,257.76,1.0
1.56,259.35,1.0
1.565,259.77,1.0
1.57,258.1,1.0
1.575,258.38,1.0
1.58,258.04,1.0
1.585,258.57,1.0
1.59,257.7,1.0
1.595,258.09,1.0
1.6,258.64,1.0
1.605,258.66,1.0
1.61,258.94,1.0
1.615,259.79,1.0
1.62,260.26,1.0
1.625,259.74,1.0
1.63,260.18,1.0
1.635,260.29,1.0
1.64,260.05,1.0
1.645,260.01,1.0
1.65,259.47,1.0
1.655,258.86,1.0
1.66,258.53,1.0
1.665,257.96,1.0
1.67,257.4,1.0
1.675,256.93,1.0
1.68,256.61,1.0
1.685,255.83,1.0
1.69,255.26,1.0
1.695,255.16,1.0
1.7,254.82,1.0
1.705,254.85,1.0
1.71,253.88,1.0
1.715,254.35,1.0
1.72,253.78,1.0
1.725,254.01,1.0
1.73,254.34,1.0
1.735,254.68,1.0
1.74,255.18,1.0
1.745,255.8,1.0
1.75,255.75,1.0
1.755,256.06,1.0
1.76,256.36,1.0
1.765,256.43,1.0
1.77,256.81,1.0
1.775,257.12,1.0
1.78,257.76,1.0
1.785,256.1,1.0
1.79,250.26,1.0
1.795,255.69,1.0
1.8,256.63,1.0
1.805,256.2,1.0
1.81,258.91,1.0
1.815,260.73,1.0
1.82,262.98,1.0
1.825,270.35,1.0
1.83,279.11,1.0
1.835,282.24,1.0
1.84,282.28,1.0
1.845,281.05,1.0
1.85,280.78,1.0
1.855,281.5,1.0
1.86,280.84,1.0
1.865,281.0,1.0
1.87,282.06,1.0
1.875,281.32,1.0
1.88,280.36,1.0
1.885,280.44,1.0
1.89,280.92,1.0
1.895,279.92,1.0
1.9,278.56,1.0
1.905,278.01,1.0
1.91,275.93,1.0
1.915,275.89,1.0
1.92,276.95,1.0
1.925,278.18,1.0
1.93,279.06,1.0
1.935,278.61,1.0
1.94,279.63,1.0
1.945,282.08,1.0
1.95,284.07,1.0
1.955,284.69,1.0
1.96,285.98,1.0
1.965,286.33,1.0
1.97,288.06,1.0
1.975,289.84,1.0
1.98,292.42,1.0
1.985,294.2,1.0
1.99,293.7,1.0
1.995,310.05,1.0
2.0,293.93,1.0
2.005,295.47,1.0
2.01,295.37,1.0
2.015,300.15,1.0
2.02,311.14,1.0
2.025,311.64,1.0
2.03,320.9,1.0
2.035,315.81,1.0
2.04,318.07,1.0
2.045,322.7,1.0
2.05,314.85,1.0
2.055,317.65,1.0
2.06,321.34,1.0
2.065,316.44,1.0
2.07,319.27,1.0
2.075,318.24,1.0
2.08,320.07,1.0
2.085,316.78,1.0
2.09,313.44,1.0
2.095,314.25,1.0
2.1,312.23,1.0
2.105,310.63,1.0
2.11,309.65,1.0
2.115,309.36,1.0
2.12,310.74,1.0
2.125,309.06,1.0
2.13,309.85,1.0
2.135,310.89,1.0
2.14,309.92,1.0
2.145,309.62,1.0
2.15,311.97,1.0
2.155,313.55,1.0
2.16,312.99,1.0
2.165,315.43,1.0
2.17,317.67,1.0
2.175,317.84,1.0
2.18,315.79,1.0
2.185,318.73,1.0
2.19,319.32,1.0
2.195,320.53,1.0
2.2,324.6,1.0
2.205,326.96,1.0
2.21,325.51,1.0
2.215,324.93,1.0
2.22,323.16,1.0
2.225,323.66,1.0
2.23,323.31,1.0
2.235,325.93,1.0
2.24,326.65,1.0
2.245,325.11,1.0
2.25,328.4,1.0
2.255,325.34,1.0
2.26,317.6,1.0
2.265,330.95,1.0
2.27,335.38,1.0
2.275,336.26,1.0
2.28,342.83,1.0
2.285,341.9,1.0
2.29,347.8,1.0
2.295,359.97,1.0
2.3,383.68,1.0
2.305,382.16,1.0
2.31,385.06,1.0
2.315,401.69,1.0
2.32,415.68,1.0
2.325,432.91,1.0
2.33,461.13,1.0
2.335,511.0,1.0
2.34,489.03,1.0
2.345,494.57,1.0
2.35,500.2,1.0
2.355,507.1,1.0
2.36,503.83,1.0
2.365,514.58,1.0
2.37,513.05,1.0
2.375,522.83,1.0
2.38,523.21,1.0
2.385,527.06,1.0
2.39,526.26,1.0
2.395,523.97,1.0
2.4,522.91,1.0
2.405,522.05,1.0
2.41,526.65,1.0
2.415,521.66,1.0
2.42,519.0,1.0
2.425,519.22,1.0
2.43,514.45,1.0
2.435,514.79,1.0
2.44,511.77,1.0
2.445,508.85,1.0
2.45,510.39,1.0
2.455,510.07,1.0
2.46,512.07,1.0
2.465,515.31,1.0
2.47,514.51,1.0
2.475,512.61,1.0
2.48,515.15,1.0
